Community,snow_1,snow_2,snow_3,snwd_1,snwd_2,snwd_3
Camden,US1MNHN0009,US1MNHN0128,US1MNHN0134,US1MNHN0009,US1MNHN0128,US1MNHN0134
Northeast,US1MNHN0065,USC00214884,US1MNHN0009,USC00214884,US1MNHN0009,USC00218450
Near North,US1MNHN0009,US1MNHN0128,USC00214884,US1MNHN0009,US1MNHN0128,USC00214884
Central,USC00214884,US1MNHN0009,US1MNHN0065,USC00214884,US1MNHN0009,US1MNHN0022
University,USC00214884,US1MNHN0065,US1MNRM0022,USC00214884,US1MNHN0009,USC00218450
Calhoun Isle,US1MNHN0022,US1MNHN0009,US1MNHN0028,US1MNHN0022,US1MNHN0009,US1MNHN0089
Powderhorn,US1MNHN0155,US1MNHN0090,US1MNHN0085,USC00214884,US1MNHN0022,US1MNHN0009
Longfellow,US1MNHN0155,US1MNRM0054,US1MNHN0085,US1MNRM0054,USC00214884,USW00014922
Southwest,US1MNHN0125,US1MNHN0028,US1MNHN0078,US1MNHN0022,US1MNHN0078,US1MNHN0089
Nokomis,US1MNHN0090,US1MNHN0085,US1MNHN0155,US1MNRM0054,USW00014922,US1MNHN0078
Phillips,USC00214884,US1MNHN0155,US1MNHN0090,USC00214884,US1MNHN0009,US1MNHN0022
