Ward,snow_1,snow_2,snow_3,snwd_1,snwd_2,snwd_3
1,US1MNHN0065,USC00214884,US1MNHN0009,USC00214884,US1MNHN0009,USC00218450
9,USC00214884,US1MNHN0155,US1MNHN0090,USC00214884,US1MNHN0022,US1MNHN0009
3,USC00214884,US1MNHN0065,US1MNHN0009,USC00214884,US1MNHN0009,USC00218450
4,US1MNHN0009,US1MNHN0128,US1MNHN0134,US1MNHN0009,US1MNHN0128,US1MNHN0134
8,US1MNHN0028,US1MNHN0090,US1MNHN0155,US1MNHN0022,US1MNHN0078,USC00214884
10,US1MNHN0022,US1MNHN0028,US1MNHN0125,US1MNHN0022,USC00214884,US1MNHN0009
2,USC00214884,US1MNHN0065,US1MNRM0022,USC00214884,USC00218450,US1MNRM0054
5,US1MNHN0009,US1MNHN0128,USC00214884,US1MNHN0009,US1MNHN0128,USC00214884
7,USC00214884,US1MNHN0022,US1MNHN0009,USC00214884,US1MNHN0022,US1MNHN0009
11,US1MNHN0028,US1MNHN0090,US1MNHN0085,USW00014922,US1MNHN0078,US1MNHN0022
12,US1MNHN0085,US1MNHN0155,US1MNHN0090,US1MNRM0054,USW00014922,USC00214884
13,US1MNHN0028,US1MNHN0022,US1MNHN0125,US1MNHN0022,US1MNHN0078,US1MNHN0089
6,USC00214884,US1MNHN0065,US1MNHN0155,USC00214884,US1MNHN0009,US1MNHN0022
